,County,Income per Capita,Population,Doses,Doses per Capita
620,"Bond, IL",37871,16426,,
621,"Boone, IL",47682,53544,,
622,"Brown, IL",37500,6578,,
623,"Bureau, IL",43040,32628,,
624,"Calhoun, IL",43368,4739,,
625,"Carroll, IL",45342,14305,,
626,"Cass, IL",41954,12147,,
627,"Champaign, IL",45967,209689,,
628,"Christian, IL",42576,32304,,
629,"Clark, IL",42593,15441,,
630,"Clay, IL",40308,13184,,
631,"Clinton, IL",47653,37562,,
632,"Coles, IL",41751,50621,,
633,"Cook, IL",65306,5150233,,
634,"Crawford, IL",47935,18667,,
635,"Cumberland, IL",83954,10766,,
636,"DeKalb, IL",42120,104897,,
637,"De Witt, IL",47023,15638,,
638,"Douglas, IL",51859,19465,,
639,"DuPage, IL",75137,922921,,
640,"Edgar, IL",42665,17161,,
641,"Edwards, IL",40991,6395,,
642,"Effingham, IL",51296,34008,,
643,"Fayette, IL",36310,21336,,
644,"Ford, IL",50606,12961,,
645,"Franklin, IL",38289,38469,,
646,"Fulton, IL",38465,34340,,
647,"Gallatin, IL",42451,4828,,
648,"Greene, IL",36652,12969,,
649,"Grundy, IL",55741,51054,,
650,"Hamilton, IL",43609,8116,,
651,"Hancock, IL",45052,17708,,
652,"Hardin, IL",37438,3821,,
653,"Henderson, IL",42414,6646,,
654,"Henry, IL",46700,48913,,
655,"Iroquois, IL",44994,27114,,
656,"Jackson, IL",37967,56750,,
657,"Jasper, IL",41811,9610,,
658,"Jefferson, IL",40516,37684,,
659,"Jersey, IL",42836,21773,,
660,"Jo Daviess, IL",48743,21235,,
661,"Johnson, IL",36717,12417,,
662,"Kane, IL",52163,532403,,
663,"Kankakee, IL",42687,109862,,
664,"Kendall, IL",49931,128990,,
665,"Knox, IL",40363,49699,,
666,"Lake, IL",80973,696535,,
667,"LaSalle, IL",46013,108669,,
668,"Lawrence, IL",30877,15678,,
669,"Lee, IL",42776,34096,,
670,"Livingston, IL",45090,35648,,
671,"Logan, IL",37660,28618,,
672,"McDonough, IL",38550,29682,,
673,"McHenry, IL",56711,307774,,
674,"McLean, IL",49602,171517,,
675,"Macon, IL",48764,104009,,
676,"Macoupin, IL",42341,44926,,
677,"Madison, IL",48222,262966,,
678,"Marion, IL",42895,37205,,
679,"Marshall, IL",45901,11438,,
680,"Mason, IL",41137,13359,,
681,"Massac, IL",38926,13772,,
682,"Menard, IL",47012,12196,,
683,"Mercer, IL",47701,15437,,
684,"Monroe, IL",59125,34637,,
685,"Montgomery, IL",36324,28414,,
686,"Morgan, IL",40560,33658,,
687,"Moultrie, IL",64409,14501,,
688,"Ogle, IL",47369,50643,,
689,"Peoria, IL",51089,179179,,
690,"Perry, IL",38179,20916,,
691,"Piatt, IL",54940,16344,,
692,"Pike, IL",41957,15561,,
